Symbol,Name,LastSale,MarketCap,,,,,,
IBB,iShares Nasdaq Biotechnology Index Fund,334.03,9803780500,,,,,,
VIAB,Viacom Inc.,27.91,9697611726,,,,,,
IPGP,IPG Photonics Corporation,179.2,9645538202,,,,,,
CGNX,Cognex Corporation,110.26,9545463562,,,,,,
CDW,CDW Corporation,61.31,9494377701,,,,,,
STX,Seagate Technology PLC,32.78,9435158004,,,,,,
SPLK,Splunk Inc.,67.38,9432537116,,,,,,
QRVO,"Qorvo, Inc.",73.01,9291818501,,,,,,
IAC,IAC/InterActiveCorp,116.15,9263453931,,,,,,
DOX,Amdocs Limited,63.65,9251845750,,,,,,
VXUS,Vanguard Total International Stock ETF,54.74,9215904385,,,,,,
FANG,"Diamondback Energy, Inc.",93.49,9174434818,,,,,,
JAZZ,Jazz Pharmaceuticals plc,152.68,9170718551,,,,,,
SCZ,iShares MSCI EAFE Small-Cap ETF,60.99,9148500000,,,,,,
AGNCB,AGNC Investment Corp.,26.24,9090850178,,,,,,
DISCB,"Discovery Communications, Inc.",23.85,9038373182,,,,,,
CSGP,"CoStar Group, Inc.",275.26,9034193952,,,,,,
SIVB,SVB Financial Group,171.42,9032660630,,,,,,
SEIC,SEI Investments Company,57.05,9020036241,,,,,,
IEP,Icahn Enterprises L.P.,53.95,8891388633,,,,,,
FLEX,Flex Ltd.,16.6,8837447460,,,,,,
MRVL,Marvell Technology Group Ltd.,17.82,8835156000,,,,,,
ZION,Zions Bancorporation,43.05,8703512693,,,,,,
OTEX,Open Text Corporation,32.27,8527050681,,,,,,
CDK,"CDK Global, Inc.",60.83,8523438770,,,,,,
FWONK,Liberty Media Corporation,38.98,8381497531,,,,,,
SINA,Sina Corporation,117.08,8362026878,,,,,,
LULU,lululemon athletica inc.,61.5,8325996014,,,,,,
ODFL,"Old Dominion Freight Line, Inc.",100.62,8289696627,,,,,,
TLT,iShares 20+ Year Treasury Bond ETF,126.29,8208850000,,,,,,
EWBC,"East West Bancorp, Inc.",56.49,8162054022,,,,,,
GT,The Goodyear Tire & Rubber Company,32.3,8131966541,,,,,,
STLD,"Steel Dynamics, Inc.",33.84,8117298056,,,,,,
BNDX,Vanguard Total International Bond ETF,54.72,8111008691,,,,,,
GLPI,"Gaming and Leisure Properties, Inc.",37.83,8038379200,,,,,,
ALKS,Alkermes plc,52.29,8034716007,,,,,,
DISCA,"Discovery Communications, Inc.",21.2,8034109495,,,,,,
AKAM,"Akamai Technologies, Inc.",46.68,8002032595,,,,,,
EXEL,"Exelixis, Inc.",27.11,7967756525,,,,,,
JKHY,"Jack Henry & Associates, Inc.",102.1,7906449001,,,,,,
TSCO,Tractor Supply Company,62.4,7905827467,,,,,,
SSNC,"SS&C Technologies Holdings, Inc.",38.07,7820614722,,,,,,
NWS,News Corporation,13.3,7739745887,,,,,,
TEAM,Atlassian Corporation Plc,33.82,7727136613,,,,,,
IEI,iShares 3-7 Year Treasury Bond ETF,124.17,7698540000,,,,,,
ACWI,iShares MSCI ACWI Index Fund,68.41,7675602000,,,,,,
SGEN,"Seattle Genetics, Inc.",53.4,7637653014,,,,,,
IEF,iShares 7-10 Year Treasury Bond ETF,107.54,7613832000,,,,,,
UHAL,Amerco,386.09,7570370869,,,,,,
NWSA,News Corporation,13,7565165153,,,,,,
DISCK,"Discovery Communications, Inc.",19.96,7564189883,,,,,,
CPRT,"Copart, Inc.",32.8,7554864213,,,,,,
AGNC,AGNC Investment Corp.,20.95,7535450108,,,,,,
CG,The Carlyle Group L.P.,22.8,7508230813,,,,,,
FFIV,"F5 Networks, Inc.",116.54,7405719948,,,,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",80.57,7390957540,,,,,,
QGEN,Qiagen N.V.,32.05,7314899700,,,,,,
CIU,iShares Intermediate Credit Bond ETF,110.22,7307586000,,,,,,
Z,"Zillow Group, Inc.",39.05,7307359685,,,,,,
ZG,"Zillow Group, Inc.",38.91,7281161725,,,,,,
IXUS,iShares Core MSCI Total International Stock ETF,60.65,7247675000,,,,,,
PPC,Pilgrim&#39,28.95,7213957458,,,,,,
IONS,"Ionis Pharmaceuticals, Inc.",57.74,7180239916,,,,,,
MIDD,The Middleby Corporation,124.01,7144311712,,,,,,
ON,ON Semiconductor Corporation,16.82,7090705336,,,,,,
ABMD,"ABIOMED, Inc.",158.46,6988429224,,,,,,
ARCC,Ares Capital Corporation,16.06,6846364590,,,,,,
MKTX,"MarketAxess Holdings, Inc.",180.77,6785577048,,,,,,
SBNY,Signature Bank,122.54,6691960744,,,,,,
FTNT,"Fortinet, Inc.",37.94,6671192344,,,,,,
BHF,"Brighthouse Financial, Inc.",55.35,6629441417,,,,,,
NDSN,Nordson Corporation,112.58,6494997220,,,,,,
DXCM,"DexCom, Inc.",74.96,6488608512,,,,,,
PTC,PTC Inc.,56.05,6479802393,,,,,,
COMM,"CommScope Holding Company, Inc.",33.49,6464953304,,,,,,
JBLU,JetBlue Airways Corporation,19.35,6364271309,,,,,,
ERIE,Erie Indemnity Company,121.43,6349558671,,,,,,
LAMR,Lamar Advertising Company,64.09,6282980730,,,,,,
TSRO,"TESARO, Inc.",115.63,6264946024,,,,,,
HDS,"HD Supply Holdings, Inc.",33.54,6260111905,,,,,,
COHR,"Coherent, Inc.",253.19,6236438851,,,,,,
OLED,Universal Display Corporation,132.35,6224570982,,,,,,
TRIP,"TripAdvisor, Inc.",44.41,6162005320,,,,,,
SRCL,"Stericycle, Inc.",72.13,6155479349,,,,,,
BIVV,Bioverativ Inc.,56.46,6107958148,,,,,,
ICLR,ICON plc,112.53,6081280317,,,,,,
LOGI,Logitech International S.A.,37.07,6076141661,,,,,,
MTCH,"Match Group, Inc.",23.05,6044012923,,,,,,
WB,Weibo Corporation,106.1,6042365716,,,,,,
SHV,iShares Short Treasury Bond ETF,110.33,5913688000,,,,,,
RGLD,"Royal Gold, Inc.",90.49,5912937297,,,,,,
LECO,"Lincoln Electric Holdings, Inc.",89.67,5909894679,,,,,,
ESLT,Elbit Systems Ltd.,138.18,5906902611,,,,,,
LOGM,"LogMein, Inc.",111.45,5871364766,,,,,,
PBCT,"People&#39;s United Financial, Inc.",16.96,5843899856,,,,,,
VEON,VEON Ltd.,4.3,5762117369,,,,,,
BLUE,"bluebird bio, Inc.",126.3,5757939326,,,,,,
CONE,CyrusOne Inc,62.43,5699388965,,,,,,
MSCC,Microsemi Corporation,49.25,5697448525,,,,,,
INCR,"INC Research Holdings, Inc.",54.5,5677323751,,,,,,
FIZZ,National Beverage Corp.,121.58,5664017065,,,,,,
OZRK,Bank of the Ozarks,44.18,5663573500,,,,,,
CBSH,"Commerce Bancshares, Inc.",55,5589426700,,,,,,
ULTI,"The Ultimate Software Group, Inc.",187.19,5583387824,,,,,,
ZBRA,Zebra Technologies Corporation,104.2,5533878608,,,,,,
MAT,"Mattel, Inc.",16.1,5517893527,,,,,,
PACW,PacWest Bancorp,45.76,5493399546,,,,,,
GNTX,Gentex Corporation,19.03,5434005919,,,,,,
BOKF,BOK Financial Corporation,82.98,5428253121,,,,,,
SATS,EchoStar Corporation,56.74,5427100543,,,,,,
FLIR,"FLIR Systems, Inc.",39.14,5369832027,,,,,,
UTHR,United Therapeutics Corporation,123.18,5351295683,,,,,,
NATI,National Instruments Corporation,40.47,5281061099,,,,,,
ATHN,"athenahealth, Inc.",130.98,5230010705,,,,,,
MSG,MSG Networks Inc.,222.09,5228838322,,,,,,
MOMO,Momo Inc.,37.31,5175927204,,,,,,
CACC,Credit Acceptance Corporation,266.97,5155263316,,,,,,
EEFT,"Euronet Worldwide, Inc.",98.04,5150403752,,,,,,
LVNTA,Liberty Interactive Corporation,60.04,5138847976,,,,,,
ARRS,ARRIS International plc,27.35,5129121251,,,,,,
SABR,Sabre Corporation,18.4,5127681327,,,,,,
LVNTB,Liberty Interactive Corporation,59.88,5125153511,,,,,,
BUFF,"Blue Buffalo Pet Products, Inc.",25.96,5117335639,,,,,,
NBIX,"Neurocrine Biosciences, Inc.",57.41,5064806304,,,,,,
BRCD,"Brocade Communications Systems, Inc.",12.19,5044418673,,,,,,
EXAS,Exact Sciences Corporation,42.11,5015150962,,,,,,
PNFP,"Pinnacle Financial Partners, Inc.",63.35,4919666672,,,,,,
VNQI,Vanguard Global ex-U.S. Real Estate ETF,59.77,4917778115,,,,,,
CDEV,"Centennial Resource Development, Inc.",17.8,4909716328,,,,,,
FSLR,"First Solar, Inc.",46.83,4889866982,,,,,,
BBRY,BlackBerry Limited,9.18,4878230409,,,,,,
JUNO,"Juno Therapeutics, Inc.",45.32,4818386552,,,,,,
BRKR,Bruker Corporation,30,4750569480,,,,,,
NUAN,"Nuance Communications, Inc.",16.33,4712826847,,,,,,
DNKN,"Dunkin&#39; Brands Group, Inc.",52.21,4711506835,,,,,,
CY,Cypress Semiconductor Corporation,14.14,4701382568,,,,,,
AZPN,"Aspen Technology, Inc.",64.31,4701010131,,,,,,
PRAH,"PRA Health Sciences, Inc.",74.83,4688219976,,,,,,
SNH,Senior Housing Properties Trust,19.68,4675160392,,,,,,
SLM,SLM Corporation,10.83,4673668836,,,,,,
MKSI,"MKS Instruments, Inc.",86,4667698246,,,,,,
HPT,Hospitality Properties Trust,28.11,4617986697,,,,,,
UBNT,"Ubiquiti Networks, Inc.",57.18,4594595404,,,,,,
TECH,Bio-Techne Corp,122.83,4591634131,,,,,,
MEOH,Methanex Corporation,52.85,4552977715,,,,,,
PRXL,PAREXEL International Corporation,87.93,4494569208,,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,36.46,4462715157,,,,,,
WWD,"Woodward, Inc.",72.5,4445450310,,,,,,
MASI,Masimo Corporation,85.56,4443998977,,,,,,
IJT,iShares S&P Small-Cap 600 Growth ETF,156.74,4420068000,,,,,,
LILA,Liberty Global plc,25.64,4394217276,,,,,,
VWR,VWR Corporation,33.15,4370332040,,,,,,
CAVM,"Cavium, Inc.",63.39,4358690948,,,,,,
MDSO,"Medidata Solutions, Inc.",74.46,4356232114,,,,,,
LILAK,Liberty Global plc,25.265,4329949277,,,,,,
PEGA,Pegasystems Inc.,55.75,4327572286,,,,,,
POOL,Pool Corporation,104.25,4297538408,,,,,,
MPWR,"Monolithic Power Systems, Inc.",103.82,4296500377,,,,,,
VMBS,Vanguard Mortgage-Backed Securities ETF,52.93,4295332487,,,,,,
BBBY,Bed Bath & Beyond Inc.,29.5,4269534263,,,,,,
HAIN,"The Hain Celestial Group, Inc.",41.1,4261956441,,,,,,
LPLA,LPL Financial Holdings Inc.,47.27,4253112105,,,,,,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,72.56,4252016000,,,,,,
TFSL,TFS Financial Corporation,15,4221688125,,,,,,
LFUS,"Littelfuse, Inc.",184.62,4193229013,,,,,,
ACHC,"Acadia Healthcare Company, Inc.",47.65,4187532557,,,,,,
BPOP,"Popular, Inc.",40.82,4164080734,,,,,,
AKRX,"Akorn, Inc.",33.15,4140985787,,,,,,
COLM,Columbia Sportswear Company,59.24,4131809733,,,,,,
ISBC,"Investors Bancorp, Inc.",13.32,4094732395,,,,,,
IART,Integra LifeSciences Holdings Corporation,52.4,4091303392,,,,,,
IBKC,IBERIABANK Corporation,75.95,4072995714,,,,,,
WINS,Wins Finance Holdings Inc.,205.01,4066914986,,,,,,
ESGR,Enstar Group Limited,209.15,4062959194,,,,,,
FCNCA,"First Citizens BancShares, Inc.",338.02,4059757098,,,,,,
BLKB,"Blackbaud, Inc.",84.26,4049625168,,,,,,
CASY,"Caseys General Stores, Inc.",106.83,4048544843,,,,,,
WTFC,Wintrust Financial Corporation,71.99,4017771547,,,,,,
UMPQ,Umpqua Holdings Corporation,18.23,4014431873,,,,,,
LSTR,"Landstar System, Inc.",95.1,3989159129,,,,,,
PFPT,"Proofpoint, Inc.",89.16,3960918021,,,,,,
NAVI,Navient Corporation,14.44,3958065630,,,,,,
FHB,"First Hawaiian, Inc.",28.31,3950564671,,,,,,
MIK,"The Michaels Companies, Inc.",21.78,3941882572,,,,,,
LOPE,"Grand Canyon Education, Inc.",81.86,3938721896,,,,,,
GOLD,Randgold Resources Limited,101.89,3904552876,,,,,,
TCBI,"Texas Capital Bancshares, Inc.",78.3,3883702394,,,,,,
MLCO,Melco Resorts & Entertainment Limited,22.74,3876881657,,,,,,
PTEN,"Patterson-UTI Energy, Inc.",18.14,3875064297,,,,,,
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,49.56,3869001164,,,,,,
PBYI,Puma Biotechnology Inc,103.9,3865661528,,,,,,
ENTG,"Entegris, Inc.",27.2,3856790082,,,,,,
BGCP,"BGC Partners, Inc.",13.25,3794369534,,,,,,
PDCO,"Patterson Companies, Inc.",39.44,3774526320,,,,,,
HBHC,Hancock Holding Company,43.95,3724452213,,,,,,
SBRA,"Sabra Healthcare REIT, Inc.",23.28,3723954098,,,,,,
HTHT,"China Lodging Group, Limited",114.34,3702409581,,,,,,
WEN,Wendy&#39,15.15,,,,,,,
HCSG,"Healthcare Services Group, Inc.",50.36,3685596600,,,,,,
FGEN,"FibroGen, Inc",51.6,3673673662,,,,,,
AMCX,AMC Networks Inc.,57.27,3640375969,,,,,,
UBSI,"United Bankshares, Inc.",34.55,3626436996,,,,,,
CRUS,"Cirrus Logic, Inc.",56.82,3625245152,,,,,,
OPK,"Opko Health, Inc.",6.47,3619349968,,,,,,
LITE,Lumentum Holdings Inc.,58.8,3617113046,,,,,,
CBRL,"Cracker Barrel Old Country Store, Inc.",150.28,3613117870,,,,,,
IDTI,"Integrated Device Technology, Inc.",26.98,3600350012,,,,,,
ICUI,"ICU Medical, Inc.",180.15,3598965000,,,,,,
JCOM,"j2 Global, Inc.",74.25,3588962924,,,,,,
MBFI,MB Financial Inc.,42.46,3561674133,,,,,,
LNCE,"Snyder&#39;s-Lance, Inc.",36.39,3517040225,,,,,,
VSAT,"ViaSat, Inc.",60.51,3510288512,,,,,,
SAFM,"Sanderson Farms, Inc.",153.67,3495135329,,,,,,
CHFC,Chemical Financial Corporation,48.86,3476114749,,,,,,
TXRH,"Texas Roadhouse, Inc.",48.78,3464922033,,,,,,
CLVS,"Clovis Oncology, Inc.",70.78,3459680676,,,,,,
MORN,"Morningstar, Inc.",81.32,3458515936,,,,,,
UMBF,UMB Financial Corporation,68.4,3420725040,,,,,,
STMP,Stamps.com Inc.,202,3415615374,,,,,,
PODD,Insulet Corporation,58.81,3414484958,,,,,,
NKTR,Nektar Therapeutics,21.76,3401687053,,,,,,
ZNGA,Zynga Inc.,3.84,3323369395,,,,,,
UNIT,Uniti Group Inc.,18.84,3305450720,,,,,,
ILG,"ILG, Inc",26.45,3303970856,,,,,,
SGMS,Scientific Games Corp,36.75,3286358497,,,,,,
SLAB,"Silicon Laboratories, Inc.",77.2,3284619831,,,,,,
BANF,BancFirst Corporation,51.6,3283662802,,,,,,
YERR,Yangtze River Development Limited,19,3273917474,,,,,,
RP,"RealPage, Inc.",39.4,3256589034,,,,,,
NTNX,"Nutanix, Inc.",21.49,3256371856,,,,,,
SLGN,Silgan Holdings Inc.,29.39,3242176189,,,,,,
TECD,Tech Data Corporation,84.96,3241150340,,,,,,
LANC,Lancaster Colony Corporation,117.76,3232394240,,,,,,
NICE,NICE Ltd,79.86,3217810799,,,,,,
HOMB,"Home BancShares, Inc.",22.35,3192722800,,,,,,
AGIO,"Agios Pharmaceuticals, Inc.",65.82,3185108389,,,,,,
PTLA,"Portola Pharmaceuticals, Inc.",55,3180179090,,,,,,
GRFS,"Grifols, S.A.",21.7,3153892865,,,,,,
MMYT,MakeMyTrip Limited,34.3,3144546242,,,,,,
LIVN,LivaNova PLC,65.12,3137599793,,,,,,
CAR,"Avis Budget Group, Inc.",37.82,3125909419,,,,,,
ANAT,American National Insurance Company,115.83,3119520124,,,,,,
VIRT,"Virtu Financial, Inc.",16.8,3115836024,,,,,,
CHDN,"Churchill Downs, Incorporated",201.8,3109383639,,,,,,
FULT,Fulton Financial Corporation,17.65,3087708650,,,,,,
LEXEA,"Liberty Expedia Holdings, Inc.",53.77,3078199365,,,,,,
FEYE,"FireEye, Inc.",16.89,3076817588,,,,,,
WIX,Wix.com Ltd.,68.15,3055801157,,,,,,
LEXEB,"Liberty Expedia Holdings, Inc.",52.61,3011792238,,,,,,
YY,YY Inc.,78.45,3007082954,,,,,,
AEIS,"Advanced Energy Industries, Inc.",74.98,2994905371,,,,,,
ONCE,"Spark Therapeutics, Inc.",81.71,2986189103,,,,,,
NUVA,"NuVasive, Inc.",58.44,2968975241,,,,,,
CATY,Cathay General Bancorp,36.66,2961709086,,,,,,
BECN,"Beacon Roofing Supply, Inc.",49.01,2959708117,,,,,,
CMPR,Cimpress N.V,94.01,2942850496,,,,,,
SIGI,"Selective Insurance Group, Inc.",50.3,2935718606,,,,,,
SBGI,"Sinclair Broadcast Group, Inc.",28.45,2921829453,,,,,,
MANH,"Manhattan Associates, Inc.",42.22,2910084472,,,,,,
LGND,Ligand Pharmaceuticals Incorporated,137.94,2904118962,,,,,,
WMGI,Wright Medical Group N.V.,27.7,2903047394,,,,,,
NTCT,"NetScout Systems, Inc.",32.35,2896566949,,,,,,
SRPT,"Sarepta Therapeutics, Inc.",44.79,2881444120,,,,,,
AVXS,"AveXis, Inc.",89.99,2872970886,,,,,,
JACK,Jack In The Box Inc.,97.38,2865355473,,,,,,
CRTO,Criteo S.A.,45.08,2848695044,,,,,,
TSEM,Tower Semiconductor Ltd.,29.09,2847707370,,,,,,
PDCE,"PDC Energy, Inc.",43.17,2843411088,,,,,,
TREE,"LendingTree, Inc.",236.55,2838253218,,,,,,
OKTA,"Okta, Inc.",29.56,2825424967,,,,,,
OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",45.75,2809609934,,,,,,
WAFD,"Washington Federal, Inc.",31.75,2807524548,,,,,,
